a,b,c,d
1.791966984,1.412867173,1.219907567,1.719051587
1.454025398,1.859109804,1.056415934,1.052499941
1.867645405,1.806030997,1.797655481,1.309531952
1.403430564,1.036134185,1.332576311,1.951279492
1.206532418,1.681194226,1.138806848,1.907449529
1.909912174,1.674934793,1.719364355,1.5879655
1.952139723,1.340240405,1.732466646,1.838763221
1.842135152,1.961220139,1.477847118,1.530604073
1.725832748,1.127405908,1.522711597,1.916513705
1.397262309,1.920527092,1.378903151,1.829321293
1.509684299,1.344921568,1.219723924,1.323920653
1.419236107,1.20316889,1.672382138,1.813833699
1.540102204,1.992191247,1.071552648,1.222352057
1.632623197,1.671139574,1.536209836,1.126911283
1.07678674,1.356501686,1.253884418,1.424295003
1.487410574,1.252713936,1.712080395,1.698963641
1.865351124,1.472766833,1.34936561,1.970488584
1.17522332,1.858030698,1.014161641,1.95901579
1.521995045,1.564292483,1.991807593,1.879398767
1.854185169,1.431280446,1.90574479,1.840030814
1.249621522,1.299760934,1.016659802,1.611398183
1.525624625,1.702579702,1.453701473,1.218470181
1.777316886,1.580769015,1.059176816,1.122071492
1.296939869,1.710183701,1.102645662,1.038026637
1.131747266,1.404964042,1.102656395,1.631335686
1.577453761,1.795009134,1.625407205,1.782880581
1.456908883,1.336805741,1.764452682,1.716954558
1.044052093,1.264393602,1.912533346,1.14914104
1.950744377,1.02760061,1.876419805,1.879444005
1.584208331,1.627465995,1.536745168,1.392889216
1.89551221,1.753778211,1.160491171,1.585982984
1.595296182,1.746873988,1.242756812,1.52906705
1.831253524,1.191721152,1.922074785,1.197040168
1.461476357,1.203669444,1.973252084,1.092244538
1.091648966,1.562343192,1.032264227,1.091507613
1.00277399,1.486119712,1.296923288,1.143494325
1.565447608,1.02937986,1.976375595,1.886771919
1.297065704,1.65177477,1.844159298,1.918900706
1.187590923,1.561254149,1.244321837,1.882215806
1.4860571,1.261192526,1.617592658,1.809193305
1.060344374,1.501371174,1.899171149,1.220186298
1.255355901,1.351667924,1.536489348,1.037011028
1.313286884,1.476386283,1.920286466,1.763184038
1.104318533,1.285135334,1.417754373,1.516107006
1.429209539,1.646271068,1.533256709,1.283233212
1.612547239,1.933303576,1.315230371,1.507742264
1.462646745,1.705720772,1.947799261,1.411819351
1.706932645,1.608360427,1.641196309,1.891057072
1.357387195,1.174963843,1.712611374,1.341856962
1.899632804,1.072155538,1.950727768,1.014300048
1.047241414,1.244668538,1.077620666,1.785337504
1.160858804,1.514384689,1.122974883,1.881984836
1.421425921,1.122873176,1.301141784,1.793979724
1.881528874,1.391515598,1.695839471,1.781401001
1.443943329,1.075530687,1.372755288,1.761575877
1.374409464,1.581878697,1.083772479,1.368344866
1.989929493,1.118767147,1.401477819,1.568509649
1.069157707,1.609011431,1.622027146,1.559585715
1.159554055,1.735910992,1.508438607,1.704589069
1.232967875,1.032592702,1.339958694,1.056452242
1.988643107,1.74276607,1.031265351,1.729281374
1.257611402,1.969028152,1.220503058,1.134089343
1.487128775,1.406557773,1.543998536,1.617978166
1.024531089,1.744900685,1.016648998,1.763265621
1.032498029,1.029654017,1.145984352,1.640801932
1.353283587,1.49394286,1.347358171,1.961593187
1.291818403,1.853739812,1.615547364,1.355224736
1.127037927,1.125991782,1.433625265,1.365441005
1.681064344,1.314812115,1.399335465,1.030530635
1.952879788,1.129080335,1.809865141,1.701325914
1.235367094,1.374787639,1.198427756,1.756245601
1.431845738,1.996740019,1.662689297,1.511186951
1.634722769,1.336418127,1.200325217,1.541388678
1.301056625,1.823946326,1.763778685,1.655293526
1.44416038,1.33772631,1.815504399,1.068482192
1.045481487,1.270972624,1.124658584,1.659161512
1.03471337,1.712290158,1.970166106,1.664397061
1.952065138,1.37567202,1.349656209,1.326323211
1.844222,1.510789946,1.902689008,1.542632418
1.346976085,1.291368387,1.40820871,1.512158776
1.288220697,1.214049387,1.810191732,1.500546942
1.809813153,1.609645873,1.2106553,1.872608309
1.213370668,1.941540481,1.870268217,1.611964601
1.166782724,1.563635981,1.68386345,1.178551395
1.960632857,1.101169865,1.735281169,1.71115153
1.694829577,1.548764811,1.597129136,1.58622434
1.254669597,1.037597417,1.184925374,1.315207791
1.353869089,1.692358125,1.341327144,1.0282292
1.664349476,1.467283154,1.817716145,1.630337435
1.75503308,1.510660644,1.218776415,1.222353145
1.151453097,1.04019387,1.753007389,1.369041728
1.976068511,1.283283301,1.410155826,1.86169018
1.029854736,1.787774749,1.231300563,1.939687168
1.436028271,1.496525384,1.835057734,1.795213632
1.309389086,1.46716935,1.871500308,1.865748018
1.245691436,1.399016827,1.301659887,1.501876139
1.773366902,1.789840049,1.054664367,1.634230481
1.435594655,1.215592673,1.69455664,1.066476846
1.953181488,1.572914105,1.328422199,1.019349446
1.855453151,1.404871478,1.819108451,1.886942522
1.223784597,1.631651339,1.598675968,1.5453829
1.752196802,1.93832412,1.268323677,1.92369333
1.253842033,1.355655045,1.991831381,1.404592951
1.85129434,1.814575465,1.230039176,1.761676492
1.90897762,1.063015646,1.688639152,1.143418841
1.666897284,1.990646634,1.883038907,1.123668151
1.410120996,1.708690157,1.218525414,1.399795576
1.788010707,1.739435229,1.938990378,1.711356215
1.163175238,1.774147522,1.572470132,1.859481297
1.545747344,1.372932811,1.518840392,1.73868248
1.690896803,1.082806279,1.067233929,1.246713286
1.852062385,1.596971047,1.769732728,1.197406587
1.257445156,1.662146883,1.84128051,1.865181748
1.019815221,1.244399529,1.282548588,1.043225114
1.519024275,1.983160867,1.777134175,1.671828467
1.00041033,1.120736124,1.958094514,1.49285436
1.765613058,1.984040783,1.42421763,1.525319994
1.203411406,1.599105557,1.702304249,1.474772319
1.740090005,1.172710948,1.424099929,1.979339343
1.25820029,1.272866819,1.632205463,1.152386183
1.532853748,1.531175557,1.712467607,1.754390041
1.404997513,1.070537123,1.541434957,1.860252535
1.716740569,1.765536089,1.515267174,1.919077044
1.889610572,1.625485507,1.294096735,1.710977755
1.429314276,1.075004407,1.87651651,1.215296228
1.258980199,1.061608818,1.305652072,1.982334084
1.790231027,1.789429879,1.482089215,1.620230644
1.224662844,1.121485972,1.461033119,1.348366243
1.577427634,1.118289786,1.413167601,1.60952288
1.373249996,1.676297541,1.919954477,1.6727505
1.711766018,1.793955046,1.898307778,1.303182621
1.53698797,1.067255068,1.521581224,1.849780143
1.472199764,1.182383538,1.641349613,1.634917485
1.146248002,1.27381357,1.822439347,1.269378775
1.679448664,1.777012108,1.818370703,1.319469365
1.262568944,1.81554104,1.769636213,1.343059716
1.953467512,1.410443218,1.800605659,1.005469419
1.226975302,1.356278143,1.423987673,1.566054747
1.465962188,1.616676502,1.651986979,1.852360297
1.224801452,1.871627715,1.953869492,1.036617369
1.087340347,1.681859866,1.71180998,1.027208495
1.226751176,1.509322517,1.252776304,1.963986341
1.858811685,1.010648951,1.861407366,1.662565327
1.403263352,1.719033601,1.468496441,1.693198985
1.648360462,1.582175567,1.116379586,1.83199553
1.331649629,1.76663676,1.452943866,1.971945207
1.248139231,1.162161624,1.920552794,1.074227653
1.774866926,1.508208736,1.381068004,1.006379281
1.00494588,1.528729904,1.222053485,1.350569751
1.591143058,1.828127271,1.105571051,1.396075206
1.469188151,1.559833717,1.615395355,1.326410486
1.526783544,1.892129749,1.796934592,1.607928404
1.657521828,1.613334469,1.026674317,1.679447356
1.866819058,1.467756425,1.780649341,1.849673929
1.124464875,1.367711825,1.747766813,1.005027986
1.326904788,1.830106677,1.558388562,1.350430916
1.218788407,1.308903063,1.26063368,1.199408884
1.477251158,1.451949138,1.939053858,1.284142761
1.083754309,1.751302896,1.103303655,1.814002838
1.751832257,1.358913297,1.626080839,1.57184552
1.839355154,1.979829666,1.161944113,1.905080475
1.29125477,1.810205547,1.029132319,1.315855743
1.914865632,1.835890775,1.1395937,1.110683221
1.646240872,1.206677675,1.755624004,1.0804999
1.32298903,1.442109272,1.977414193,1.482691638
1.198995372,1.648388155,1.960394924,1.74603987
1.592961625,1.503613888,1.186430204,1.373461521
1.860645527,1.944901741,1.149895141,1.408717617
1.091177124,1.648443612,1.744805107,1.47185523
1.648145377,1.101285097,1.119647369,1.89385925
1.85866453,1.434340047,1.19382025,1.470139858
1.575260857,1.528949297,1.170952354,1.808798455
1.040993225,1.702712507,1.324780884,1.466522255
1.854590065,1.900092484,1.671182273,1.463738363
1.978434956,1.478150866,1.316534084,1.840910406
1.089650863,1.356157988,1.679037508,1.576862662
1.822147161,1.220445919,1.622025707,1.635621759
1.965928401,1.713713331,1.424689242,1.882538949
1.265200418,1.556562484,1.713894299,1.043138671
1.720490639,1.193002618,1.555307834,1.848623095
1.313702013,1.062137887,1.110452174,1.268482639
1.333913162,1.222860516,1.930208506,1.189699217
1.47371881,1.27649917,1.918582911,1.907732156
1.164367536,1.413503635,1.119111063,1.554603884
1.477940409,1.26699235,1.631460237,1.450150798
1.752672879,1.623583286,1.070950399,1.653387956
1.543147485,1.6121835,1.168726165,1.317217976
1.227337162,1.865680153,1.582724825,1.073283069
1.126114912,1.570637631,1.280986975,1.958244123
1.596873927,1.395421008,1.998869247,1.378274303
1.777175432,1.269718215,1.640398899,1.321370544
1.593221449,1.695937175,1.81823787,1.842587576
1.615032376,1.830043849,1.011941853,1.864748866
1.202932607,1.250148592,1.201128137,1.03721097
1.686393636,1.376117918,1.282819924,1.262456891
1.496567216,1.767591643,1.388797121,1.94089617
1.141109327,1.766736643,1.515415057,1.887115517
1.325177275,1.13810805,1.88172862,1.892377044
1.131184153,1.472481374,1.696518543,1.880927153
1.954555396,1.691155506,1.346136348,1.457713525
1.604008642,1.404927832,1.557633556,1.458469006
1.366427939,1.921097764,1.925939618,1.618737359
1.692692167,1.705645518,1.494331243,1.78954389
1.505282386,1.271060205,1.811675461,1.13565063
1.732390228,1.769800236,1.71349016,1.164144908
1.132595852,1.6448587,1.044208192,1.718543299
1.808175966,1.458416619,1.934434926,1.494265934
1.577188597,1.588146718,1.639902216,1.377186958
1.487583521,1.318129871,1.904726303,1.043530035
1.042248321,1.721671306,1.770225149,1.146605202
1.906805106,1.714242378,1.649246352,1.808953715
1.225098441,1.714232693,1.886303481,1.277516639
1.927654059,1.947217896,1.323854749,1.53139742
1.777502625,1.366416108,1.891350779,1.712958537
1.701804619,1.475405155,1.148310972,1.962905801
1.689441797,1.475356128,1.270651818,1.419800329
1.795374283,1.017607321,1.923925737,1.913289908
1.819184879,1.711886898,1.147190233,1.146487856
1.045339409,1.074038167,1.037202776,1.500600627
1.34411923,1.898714028,1.197020932,1.513983027
1.09985413,1.389865175,1.404529627,1.010392376
1.988879672,1.74900909,1.259629419,1.458434599
1.457001145,1.680664208,1.394161655,1.40932639
1.228707421,1.496198852,1.045765444,1.634076064
1.291971014,1.232786419,1.459347917,1.805534031
1.154720554,1.132605002,1.300054183,1.62631737
1.385593597,1.160021073,1.119271104,1.636489406
1.51658747,1.105895366,1.836027612,1.542524191
1.065061456,1.262435046,1.605993893,1.208245536
1.527019364,1.823772823,1.289215634,1.887312634
1.189194844,1.273473138,1.555842619,1.26130286
1.956031373,1.232334553,1.710922891,1.005298263
1.586997431,1.551839109,1.96318383,1.874822441
1.839470782,1.146495685,1.424966529,1.647964207
1.175950676,1.270795313,1.784576083,1.474558462
1.48854926,1.125857025,1.805254018,1.419289856
1.621255697,1.397235818,1.072873992,1.901890176
1.808743929,1.221191336,1.258235945,1.306031532
1.812483682,1.705963435,1.13599942,1.16436307
1.112708166,1.898521762,1.604783075,1.578056721
1.247857794,1.29551453,1.581997951,1.451527684
1.934186712,1.524103812,1.734909317,1.108213075
1.96945658,1.725665725,1.440541845,1.345287548
1.667088523,1.746403569,1.896870715,1.234606783
1.878747715,1.382032824,1.456379689,1.648507993
1.642440454,1.576130748,1.433140893,1.807004099
1.821185187,1.458036129,1.899692937,1.571366453
1.212063974,1.39122681,1.949398393,1.507178597
1.194067005,1.615079984,1.288358777,1.970882399
1.804016761,1.65479169,1.524214039,1.008780205
1.22082426,1.11535424,1.087811525,1.438316058
1.772812397,1.804282833,1.778690715,1.3898857
1.010486112,1.672779917,1.076818046,1.956760928
1.266886438,1.145256883,1.570739269,1.928043972
1.030610282,1.905536066,1.03488749,1.05714269
1.888634517,1.730950303,1.477686237,1.567017442
1.838297057,1.34554793,1.372347616,1.181389898
1.904784889,1.798964703,1.140146658,1.56769802
1.322570335,1.867562309,1.985349087,1.331352173
1.883311895,1.221982671,1.405394217,1.746041309
1.644077003,1.614643838,1.270259534,1.651711643
1.437000877,1.195664033,1.630774096,1.133005728
1.025545985,1.132593376,1.33063958,1.678348612
1.117457609,1.046552977,1.015704961,1.332472162
1.944670895,1.792220228,1.135321158,1.568068047
1.998110534,1.178953877,1.414890859,1.978757174
1.218295737,1.113693988,1.47120359,1.581033186
1.315875351,1.508766658,1.949177716,1.45258601
1.526006834,1.716535051,1.414549903,1.94056379
1.62707352,1.014296088,1.3554936,1.471107391
1.492167424,1.791806959,1.045439755,1.141268276
1.9551075,1.760908461,1.751785398,1.936253319
1.266490528,1.106606451,1.65956734,1.818226363
1.713495628,1.792888641,1.165443491,1.461125701
1.216890924,1.287646317,1.965754261,1.939531786
1.771934365,1.473541764,1.399747396,1.467292092
1.055858469,1.526353515,1.547040727,1.919614581
1.323384543,1.318058934,1.607742423,1.586573878
1.765256635,1.581821555,1.51720694,1.185991636
1.00346848,1.22258968,1.986248018,1.139820005
1.501779092,1.407734413,1.057869022,1.023463463
1.589929963,1.934706366,1.100177793,1.050311897
1.755254189,1.869265991,1.195764561,1.38721359
1.020654345,1.518702713,1.987538093,1.301318484
1.651496938,1.460720407,1.594442754,1.695483881
1.918513019,1.042931061,1.83637489,1.91699467
1.015759907,1.624769294,1.090382676,1.051579243
1.860763773,1.973661678,1.081118271,1.866565692
1.666744973,1.769647198,1.654516748,1.183635214
1.148904154,1.588264207,1.47488324,1.140124276
1.922677223,1.51104066,1.569478804,1.746792788
1.211315391,1.682560086,1.712576806,1.408325814
1.606735124,1.593672076,1.129563263,1.398952084
1.075034238,1.76929014,1.50802486,1.113269483
1.677985365,1.878536874,1.244915922,1.698497837
1.563929084,1.134299339,1.418797126,1.11511037
1.47719487,1.668690234,1.094367366,1.283234651
1.113895078,1.954881948,1.431620799,1.132601413
1.693384047,1.856977232,1.943813687,1.255029804
1.766743231,1.709266119,1.204675254,1.004090582
1.603364031,1.519478258,1.269802344,1.025273385
1.750095862,1.681608957,1.062884415,1.66255462
1.140768144,1.40002472,1.398640022,1.86235952
1.909050353,1.734140757,1.206275215,1.022666933
1.14164469,1.466634826,1.192266494,1.689575919
1.638414683,1.826777677,1.824824192,1.966791317
1.599528645,1.612866129,1.807650896,1.564309114
1.366088506,1.651689444,1.08279706,1.024946816
1.53430849,1.449004103,1.548579702,1.877074606
1.75918885,1.764177282,1.862763187,1.790588149
1.116462983,1.712586115,1.178508938,1.04990461
1.573639977,1.247799459,1.835349531,1.609835364
1.399958911,1.387551381,1.320666789,1.86218211
1.169634427,1.165558853,1.004710043,1.036803811
1.891391319,1.493155315,1.72125551,1.53516799
1.192609521,1.889497779,1.927789603,1.926629229
1.802440017,1.157282264,1.631131061,1.894066925
1.13040641,1.475989242,1.404747668,1.815186346
1.990475313,1.192966479,1.664993213,1.389071624
1.068359502,1.917950932,1.999708542,1.005016089
1.228411291,1.203495705,1.905340713,1.291294711
1.238074123,1.743370724,1.279720756,1.705511955
1.298001575,1.152812491,1.292235176,1.474483173
1.932315165,1.901600567,1.048592957,1.404067584
1.002001586,1.857385673,1.835630619,1.271346749
1.647615857,1.761932544,1.938784464,1.502569352
1.357129673,1.355350131,1.68466366,1.352919303
1.952874498,1.907004048,1.792268656,1.644230044
1.425940454,1.763568675,1.039866196,1.850162909
1.161519923,1.027644574,1.994041422,1.301455318
1.819263197,1.53153044,1.881924252,1.714085309
1.364004995,1.891680247,1.610690894,1.198600849
1.032414018,1.59979481,1.345907782,1.84292747
1.860296621,1.749845075,1.724915923,1.367477515
1.124797473,1.790080465,1.559061864,1.695729011
1.422654776,1.766213105,1.031497479,1.712639047
1.717960946,1.44433664,1.733819708,1.619870509
1.913007979,1.388142202,1.920491488,1.778286529
1.944615755,1.82292039,1.378154087,1.947451699
1.46922702,1.362441153,1.944079255,1.663268829
1.357295933,1.09094932,1.689499368,1.660423954
1.829523095,1.379870437,1.219784181,1.984531911
1.905409774,1.679524492,1.805822702,1.862053519
1.472069546,1.987757899,1.312003814,1.427401688
1.378861359,1.228409025,1.193138976,1.534690514
1.802322468,1.299830555,1.230279866,1.372802122
1.230481879,1.670598942,1.778238257,1.414538375
1.786597968,1.62566427,1.697597033,1.330470393
1.280415253,1.750684266,1.935091786,1.873186191
1.773332032,1.068306312,1.727537719,1.824395645
1.800071702,1.982748024,1.109313154,1.764640333
1.159016502,1.960786919,1.767241849,1.885769096
1.390778307,1.265665028,1.724765126,1.870345905
1.468444105,1.503585173,1.727326728,1.438659581
1.608266174,1.883548797,1.264807578,1.50975282
1.168858922,1.458793323,1.068223892,1.694406128
1.884502325,1.356267426,1.248547125,1.928665613
1.69199129,1.52592678,1.502836215,1.77587619
1.090728907,1.27542487,1.8794451,1.592942505
1.804541715,1.717332184,1.400974613,1.357632907
1.859295614,1.888546687,1.665278142,1.466189259
1.940625582,1.953534849,1.856678045,1.091475726
1.211344386,1.378709072,1.89184503,1.875607116
1.170564461,1.594716767,1.427137392,1.823125377
1.681696503,1.917424288,1.943374551,1.385043022
1.132007313,1.95442522,1.925305744,1.173309803
1.179729907,1.579873746,1.490450654,1.072735165
1.468635591,1.150294445,1.462780717,1.807044804
1.757489657,1.982488939,1.48131439,1.256937466
1.903162405,1.654017986,1.575647798,1.900018099
1.706778868,1.529001351,1.272145778,1.648058222
1.525755505,1.820227704,1.975525244,1.09150669
1.294111878,1.316035401,1.079383512,1.928453648
1.373935591,1.036544202,1.673974329,1.952812097
1.29419617,1.51805441,1.904583565,1.749050588
1.531011965,1.620820327,1.474260629,1.367650776
1.51255606,1.723086818,1.216903269,1.702976545
1.232716847,1.636427765,1.279577506,1.281104383
1.897988769,1.199874399,1.086139675,1.964849406
1.129445812,1.728135824,1.821170052,1.142492798
1.524870511,1.052352022,1.694737517,1.341736527
1.105957432,1.078266177,1.353377834,1.426457307
1.050009606,1.018514897,1.94136084,1.791610587
1.178643206,1.318807288,1.607184069,1.824862169
1.94146489,1.478503035,1.518844072,1.356541333
1.122195615,1.22693565,1.73318708,1.00285055
1.571655493,1.623311498,1.579058404,1.277360302
1.173066795,1.456434763,1.862108197,1.273265762
1.100998387,1.896315421,1.299500649,1.250762415
1.22151007,1.209682865,1.173572966,1.903781264
1.333012168,1.267720718,1.136034705,1.614333623
1.875525311,1.447862364,1.506922887,1.176168923
1.436056652,1.824950631,1.692826369,1.915774583
1.704468113,1.7095402,1.057292213,1.034048683
1.883952051,1.650432448,1.379444244,1.21418711
1.396751321,1.33258723,1.314058788,1.077997715
1.701549056,1.515682299,1.231801177,1.716613011
1.82144396,1.440771787,1.373299934,1.060837378
1.381490712,1.755015514,1.460697701,1.279687244
1.481001513,1.571308074,1.957126797,1.791138238
1.139983044,1.33479187,1.396570179,1.527043842
1.404355541,1.578824999,1.125869007,1.386126526
1.838957388,1.8884923,1.85400788,1.258005933
1.567489927,1.393570322,1.512303767,1.082978256
1.664901029,1.504739721,1.445537809,1.087971765
1.741921408,1.126242596,1.999607036,1.065640687
1.320571661,1.316599358,1.154592895,1.858176486
1.093013347,1.029335008,1.656555674,1.573934672
1.045262453,1.811778406,1.506634431,1.805996542
1.801908261,1.107008973,1.720469841,1.768303115
1.02096199,1.425181927,1.255974197,1.730689775
1.277961915,1.849262018,1.345371323,1.159437802
1.718944267,1.820079552,1.565696464,1.387454695
1.826840114,1.233865933,1.284507892,1.940600606
1.230392405,1.761442391,1.939289453,1.908520849
1.298387292,1.577983841,1.832511743,1.989946389
1.832687486,1.478441918,1.457762938,1.636169862
1.22261036,1.74167468,1.245442159,1.580785672
1.957149102,1.651136955,1.411185456,1.866221428
1.282431467,1.450733784,1.758860051,1.003965656
1.070511883,1.476135101,1.580447624,1.38936725
1.604156182,1.883594094,1.886880959,1.49618478
1.675939718,1.034009359,1.459143732,1.281948988
1.584852642,1.063018641,1.735219691,1.872664954
1.354000583,1.390330409,1.777820646,1.296387344
1.252384143,1.598493974,1.177458134,1.053007544
1.49549383,1.05875264,1.393504171,1.432859491
1.919796857,1.515711969,1.033718531,1.504329889
1.298933211,1.703434383,1.202692101,1.643228994
1.77796762,1.610689302,1.900042056,1.027795971
1.690483349,1.279019089,1.094857519,1.881459472
1.523531363,1.236100587,1.954658661,1.349726003
1.113414451,1.242837128,1.933704798,1.650708988
1.688180997,1.535424414,1.076962116,1.426623342
1.692469761,1.237855209,1.870601759,1.075812664
1.528704746,1.226121817,1.055834655,1.13196176
1.324729592,1.215201124,1.935302416,1.794114798
1.118035874,1.264574391,1.629205845,1.824062003
1.227021328,1.660208501,1.85135263,1.478675895
1.466157002,1.752999816,1.115390872,1.279711839
